"","C1","C2","C3","C4","C5","P52","P53","P55","P56","P57","P59","P61","P64","P66","P68","P69","P70"
"Label","Control","Control","Control","Control","Control","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2","MeCP2"
"Urea","-1.04894298","-1.44229643","-0.09253475","-2.32853888"," 0.20400433"," 1.20936878","-0.62987556","-1.17626046"," 0.62233092"," 0.05514173"," 0.93217923"," 1.04350892"," 0.56775064"," 0.03763111"," 0.55689290"," 0.82455343"," 0.66508707"
"Ethanolamine"," 0.4200604"," 2.3610826","-0.8241884","-0.5927083","-1.0635101"," 1.0628596"," 0.5689245","-1.6809917"," 0.4637948","-0.8517372","-0.5527692"," 0.6279061","-0.0958743","-0.2738761","-0.1633710","-0.6723857"," 1.2667840"
"Leucine"," 0.41809759"," 2.00889710"," 0.05617826"," 2.21171201"," 0.42986698","-1.28828625"," 0.22105602","-0.40119197","-0.84343853"," 1.26520074","-0.57719019","-0.66236214","-0.65904346","-0.23158912","-0.67567184","-0.59989605","-0.67233915"
"Glycerol"," 1.90749620"," 0.77042571","-0.17273905"," 0.91529512"," 1.55818637"," 0.49223439","-0.01325485","-0.47264003","-0.57960227","-2.12112672"," 0.24347525","-0.54252596"," 0.09192227","-0.37297343"," 0.08259117","-1.62383383","-0.16293035"
"Isoleucine","-0.09528189"," 2.38979310","-1.00526178"," 1.75787202","-0.98512081","-1.04589741"," 0.50300577"," 0.34231551","-0.78988367"," 1.42308562","-0.20583736","-0.41245634","-0.37856039","-0.27881266","-0.67779953","-0.43809710","-0.10306310"
"Proline"," 1.147366280"," 2.157998524","-1.469937152"," 1.069578975","-0.808200191"," 0.008577424"," 0.330581844","-0.018462310","-0.407631763"," 1.308607632","-0.890432365","-0.890432365"," 0.330581844"," 0.284270969","-1.257700695","-0.045869937","-0.848896713"
"Glycine","-0.07322421"," 1.56421334","-0.83997992"," 2.74034967","-0.21558789","-0.05315790","-0.25909984"," 1.55318854","-0.71421069","-0.86895482","-0.24086291","-0.59538230","-0.37962182","-0.61257815","-0.52379397","-0.56984325"," 0.08854613"
"Glyceric acid"," 0.07237680"," 0.28443147","-0.34926425"," 1.72669463","-0.44131558"," 1.87818883"," 1.06099228","-0.24612490","-0.74476056","-0.93888837","-0.64921309","-0.40390352","-0.02668749"," 0.91044412","-1.00877643"," 0.74209122","-1.86628517"
"Uracil","-3.01839422"," 0.19608003","-0.78443352"," 0.04950083","-0.60209742"," 0.60419337","-0.26211763"," 0.85344318"," 0.47304510","-0.97612203"," 0.19608003"," 0.04950083","-0.26211763"," 0.33712733"," 1.08710582"," 0.97210013"," 1.08710582"
"Serine"," 0.96252930"," 2.59826384","-0.42115463"," 1.10941882","-0.18955076","-0.92603360","-0.03538388","-0.08568283","-0.30911520"," 0.93658099"," 0.59291345","-0.79897670","-0.60090700","-1.57181207","-0.18553578","-1.08784941"," 0.01229544"
"Threonine"," 0.895544296"," 1.862065927","-1.721243688"," 0.393861963","-1.910656263"," 0.020007820"," 0.004825473","-0.512366713"," 0.578351091"," 1.299990574","-0.159461483","-0.026930326"," 0.209162047"," 0.755341563"," 0.082963077","-1.364546527","-0.406908831"
"Malic acid"," 0.97026290"," 1.91837267","-0.11058596","-0.97823444"," 1.47222297"," 0.22799608"," 0.42719954","-0.53773537"," 0.60942814"," 0.76384811","-0.61371558","-0.17261607","-1.13681637","-1.34406267"," 0.26251121","-1.78559451"," 0.02751936"
"d-Threitol"," 0.8266997"," 1.7509001"," 0.2874142"," 1.2869310","-0.1285491"," 0.3975893","-1.3373084"," 0.7436447"," 0.3429420","-1.2363015"," 0.8539458","-0.8372684"," 0.4360994","-1.5486612","-1.5080327","-0.1285491","-0.2014960"
"Oxoproline","-0.3021522"," 0.1062649","-1.2011080"," 2.0107036"," 0.4904192","-1.2480897","-0.7877281"," 1.8469344","-0.3694241","-0.7280581"," 1.4575787","-0.5614763"," 0.4259344"," 0.5484255","-0.3959159","-0.6744152","-0.6178932"
"Aspartic","-0.09813953"," 0.90412355","-1.40623612"," 1.64705421"," 0.31487237","-0.88879888"," 0.31487237"," 1.70056375"," 0.36843364","-1.38023525"," 0.90412355"," 0.36843364"," 0.38615015","-0.07854229","-0.70599706","-0.86554875","-1.48512934"
"4-Hydroxyproline"," 2.07507133"," 2.51152010","-0.42440130"," 1.30211683","-0.26363993","-0.26363993","-0.21373023","-0.26363993","-0.96573873","-0.96573873"," 0.05468533","-0.67033081","-0.31530101","-0.11871647","-0.73881422","-0.42440130","-0.31530101"
"Threonic acid"," 0.03791062"," 0.83022450"," 0.04301199","-0.73072697","-1.32543897"," 1.45970902","-1.03097888"," 0.56668331"," 1.61711037","-0.50989939"," 0.43139316"," 0.06911484"," 0.69509583","-1.29491685","-1.63220905","-0.42311088"," 1.19702735"
"a-ketoglutaric acid"," 1.7395338"," 1.5142934"," 0.2945349","-1.0689512"," 1.4924275","-1.2788949","-0.9972546","-0.1884329","-0.3159097"," 1.1358738"," 0.2033835","-0.2020714","-0.4552919","-1.1966693","-0.2437506","-1.0207731"," 0.5879527"
"Glutamic acid"," 0.7040504"," 1.5038613","-1.2339949","-0.2559037","-1.4400684"," 0.1477069"," 1.2785407"," 0.6626710"," 0.2506897"," 0.1211948"," 0.4201291","-0.2877564","-1.3346347"," 1.5322430","-0.6343568"," 0.1739052","-1.6082771"
"Phenylalanine"," 0.60090857"," 1.43669260"," 0.47979376"," 2.69984780"," 1.18808382","-0.62793861","-0.23058457","-0.57324816","-0.81353634","-0.19779804","-0.11501592","-1.06871869","-0.56429933","-0.39443194","-0.88997608","-0.06919734","-0.86058153"
