"","CSF.1","CSF.2","CSF.3","CSF.4","CSF.5","CSF.6","CSF.7","CSF.8","CSF.9","CSF.10","CSF.11","CSF.12","CSF.13","CSF.14","CSF.15","CSF.16","CSF.17","CSF.18","CSF.19","CSF.20","CSF.21","CSF.22","CSF.23","CSF.24","CSF.25","CSF.26","CSF.27","CSF.28","CSF.29","CSF.30","CSF.31","CSF.32","CSF.33","CSF.34","CSF.35","CSF.36","CSF.37","CSF.38","CSF.39","CSF.40","CSF.41","CSF.42"
"C4:0 (Carn)",0.0395938070066515,0.0512317619944717,0.0286221306919731,0.021234679850648,0.059713458597984,0.0429142873482493,0.012271762956273,0.0425042683038947,0.0369253886025283,0.0585519341060795,0.0478128486569301,0.0261172850673037,0.327373900574514,0.0102465543014026,0.0374219039579645,0.0550250392582442,0.0279933153702357,0.0897736725027719,0.0372825765639838,0.0274909861710983,0.0446012792187497,0.0279432163317583,0.0686090098214885,0.0343990499029136,0.0304496674392025,0.056791260336238,0.0332791740388939,0.0161837438922454,0.321613388684493,0.0255242276782789,0.0579088904952171,0.0700991353513755,0.02506672796634,0.0295818699366481,0.0465225856315905,0.0254538837255663,0.0423056613421094,0.0342259717124765,0.0470298824488968,0.0242500659005411,0.0437224688747357,0.0163189290047019
"C5-M-DC/C6-DC (Carn)",0.00449932812542046,0.00281773256036163,0.00471645909988033,0.00105641349871335,0.000968382865923147,0.00289805717270182,0.00426922019696219,0.00427795130398356,0.00280078892636955,0.00526301510699218,0.0063571353284058,0.0101119857071101,0.00177367171394405,0.00053920170462948,0.00393193918576069,0.00565522154818123,0.00429826461130196,0.00396006478283868,0.00546711127519443,0.0032407683329692,0.00574467004076419,0.00210019275046944,0.00943732602136137,0.0033419194612932,0.00628087633516401,0.00242889414693951,0.00283085514593734,0.00908548183052653,0.00377431311068451,0.00236718380832418,0.00279417286059958,0.00265353156901835,0.00357482220231513,0.00225463629631113,0.00597385037138685,0.00103754985894147,0.00369007080660641,0.00218079553587624,0.00222030619492465,0.0016562104260255,0.00482705092167054,0.00219262154754051
"Tryptophan",1.03236457435839,1.41195041189364,1.1890137738529,1.27033144928272,1.18055503627583,1.33710175348095,1.62626395723804,1.27048247522073,1.13279211273355,1.25085629480493,1.04285712510592,1.3346725917377,1.25631550789101,0.891118144114129,1.43395317126392,1.77306990225035,1.42595536194771,1.54101773406999,1.17339224927272,1.15878943783457,1.33120439480193,0.925608783673123,1.51034725562317,1.30539933199026,1.54182458893309,0.825370780896803,1.02681477355684,1.48030597087424,1.14570291420148,1.36023627920045,1.19286524313996,1.24790518856493,1.20521123715134,0.78845190580394,1.30067900923361,1.09233093554367,1.02782459316202,1.14671459727152,0.969971015135679,1.1113011106537,1.52021470934138,1.09114380215652
"C5:1 (Carn)",0.0118943262077859,0.00764880715046596,0.00830735517481784,0.00839703501454794,0.00865648231083111,0.00493684868389085,0.00337192566353647,0.0115912343294331,0.00652533660727977,0.00782741569618495,0.00972336351387173,0.00786619520392818,0.00804401796309687,0.00192402487648382,0.00779936770451743,0.0191233289782528,0.00486481557255904,0.0172399710054713,0.00942754273812351,0.00605785807009974,0.0759900411644982,0.0043375900398272,0.032229660477484,0.00696907051740181,0.0069266532528754,0.00693570032817774,0.00912207408182131,0.0240253939519519,0.0124081821179925,0.00512979905364651,0.00790021793574948,0.00785438936692233,0.00698777255029207,0.00648833416113128,0.00605232765884249,0.00523642894395235,0.00719932654600253,0.00709706514938454,0.00555445043954337,0.00737285756546098,0.0104472182752529,0.00477855051971429
"C5:0 (Carn)",0.00894494443345468,0.00989585115135426,0.0100844970999993,0.00741105417170426,0.0188504633476138,0.00733071751179061,0.00464701388634687,0.0118336681408088,0.0100609356273237,0.009941924877244,0.0148938311993451,0.00681099343451592,0.0578086267390516,0.00257234867246602,0.014267887864368,0.0378313137694406,0.00824707717942688,0.0279972117488765,0.0126003362870692,0.00701820766543788,0.019508841007959,0.00967809875186692,0.0326124990375415,0.0136461177640579,0.00766988607975433,0.0102025277617254,0.0123922558368983,0.00447848260930611,0.0513864727463125,0.00938832543295029,0.0240292882491724,0.0170034367446574,0.0042592475136153,0.00971413167320911,0.0179195790024705,0.0084615945220838,0.012124427178245,0.0091877411456352,0.0190020922476029,0.00759784811242954,0.0103386900854235,0.00562292269823127
"Anthranilic",0.00342826876545406,0.00280841470906596,0.00677248486484887,0.00261504977489126,0.0472398096573733,0.0126900605027009,0.00631546142504094,0.0100119121253195,0.0053209834255423,0.00105533194130354,0.00465342699453216,0.0018173146828965,0.00955347885050114,0.0066817999716283,0.0033470224658709,0.00562385344951183,0.00280428531387016,0.00776388191878003,0.00393031418641166,0.00314008576635625,0.00981117760744772,0.00520658418610738,0.101060269036535,0.0026785744143854,0.00179852168982245,0.0109040363275328,0.00345988369351214,0.701490163390425,0.00687861598363595,0.00628643887203986,0.00405243876707288,0.00261488819796276,0.0325316933814208,0.00239199789065014,0.00166252024703542,0.00627940321567118,0.0149880873489188,0.0112357716467687,0.00502086035894526,0.0061598242682817,0.00229456946083569,0.00141092817255392
"5-Hydroxyindole-3-acetic",0.104141604086858,0.160135770528934,0.173431490328464,0.211086006404141,0.126712057472213,0.274671472974629,0.228837684921291,0.262435808062033,0.20015874079936,0.20905915826929,0.2357094052375,0.215176724256132,0.176275516270444,0.0883875371467255,0.590372856712195,0.797019369709138,0.248649210853291,0.469747846536127,0.0844747975905398,0.223379035585612,0.345444762846538,0.116392905428487,0.473529867254293,0.276360474341269,0.162501225341057,0.154749543329853,0.173628481263987,0.250441524077528,0.23239245602755,0.262995311469289,0.379385457858986,0.0887569908521678,0.140588713549141,0.116556648395296,0.112652152939151,0.0626147625249904,0.113293363254615,0.15815087693133,0.135889261914658,0.14630799190492,0.651750442781422,0.425216368071993
"C6:0 (Carn)",0.00160945473261183,0.000521265817364449,0.000597347852241669,0.000449328236946364,0.000464673622488237,0.000156259190896784,0.000219732057143165,0.000810002759172767,0.000247542258886754,0.000263782506335447,0.000471962308266153,0.000215528871983947,0.00147394540857468,0.000180455316959861,0.000618085345892049,0.000694878016340555,0.000332228505997666,0.00250061016669323,0.000633632112766626,0.00041386594567335,0.00222436586294584,0.000765584665258371,0.00123417179658054,0.000339945711908466,0.00091450870940975,0.000445096130019481,0.000893095371577172,0.000332417843066242,0.000626729863803627,0.000802733922896126,0.000847295943390306,0.000720567828635546,0.00122667322866593,0.000418189446603174,0.00145131802831433,0.000261950687922665,0.000596069615204574,0.000331863927074841,0.000375117534619474,0.000691042275277339,0.000279279397878277,0.000258571367542398
"N-Acetyl-5-hydroxytryptamine",0.00022940178539819,0.000338842186501799,0.000291437727899515,0.000341644732791441,0.000828756386536135,0.000196423507639771,0.000406621118426677,0.000426328609042651,0.000675991866005668,0.000318732899272363,0.000234725249872968,0.000563975435952523,0.000340917880894754,0.000164412083592603,0.000671006624692867,0.000548191715461315,0.000281239548450437,0.000623906529837683,0.000487762324614219,0.000204735940167119,0.00045707452552221,0.000312182665920288,0.000453505450856024,0.000318281443087236,0.000383035132676342,0.000199871024456033,0.000302396273637759,0.00832681167864153,0.000265787175459215,0.000385434410613283,0.000472143122892059,0.000352579436564746,0.000245129553295922,0.000118384092326816,0.000274523914861618,0.000194817221892563,0.000190416369652223,0.00016608730673969,9.31323130516001e-05,0.000335083853134568,0.000481557232701521,0.000224005208959773
"Kynurenic acid",0.00126601326690472,0.00187197376328109,0.00304228455579423,0.00420359948289819,0.00150566990994406,0.00277668643570439,0.00274032487774104,0.00950469989127035,0.00371955088592141,0.0045578930064321,0.00532363030050609,0.0072509770121368,0.00393338409224451,0.00139054873881316,0.028023406649039,0.0799233122384928,0.00595664093669389,0.00470962030745413,0.00142859906624342,0.00264941619530312,0.0116908637614237,0.00171139073511478,0.00299945413652282,0.00393864733521427,0.00414144536416544,0.00317084953894761,0.0037234623024396,0.00698537535710232,0.00285132809770026,0.00336057892388591,0.0192044778522284,0.00180255542039251,0.00229187265231024,0.00241524993425952,0.00236063550622917,0.00123352389648412,0.00285808577893922,0.00344456965241409,0.00253662703959373,0.00312635286203641,0.0986189071964309,0.0199157199205756
