"","CSF.1","CSF.2","CSF.3","CSF.4","CSF.5","CSF.6","CSF.7","CSF.8","CSF.9","CSF.10","CSF.11","CSF.12","CSF.13","CSF.14","CSF.15","CSF.16","CSF.17","CSF.18","CSF.19","CSF.20","CSF.21","CSF.22","CSF.23","CSF.24","CSF.25","CSF.26","CSF.27","CSF.28","CSF.29","CSF.30","CSF.31","CSF.32","CSF.33","CSF.34","CSF.35","CSF.36","CSF.37","CSF.38","CSF.39","CSF.40","CSF.41","CSF.42"
"Leucine",2.49865446403555,2.60502007907773,2.45327570798071,2.6959748533324,2.69528257406107,2.2851999432429,2.55827707025543,2.17527135917638,2.60842513220547,2.42769932298713,2.30034769187785,1.66275211341364,2.77503510241015,1.71462173248218,2.66674447849327,3.14241382878837,2.38032555252695,2.77030793572252,2.62843034845733,2.42350489274686,2.6135110706296,2.22967907512685,2.41023931609257,2.91857208658965,2.37664164239707,2.35217693573332,2.35351800745255,0.915042753472953,2.5033852800718,2.55996340979538,3.20397394128639,3.00413075735079,2.37747463821138,2.06646799802062,2.49696696428037,2.90792114048107,2.47692269601425,2.34851010892444,2.37007213795977,2.34985619921704,1.11074703063703,2.67003481991108
"Glycerol",3.66844483215119,3.3338264084725,3.42839968786374,3.64116815775728,3.76668180791396,3.45746302673226,3.37479111827729,3.59930288072858,3.503097316411,3.41623540828042,3.39572778398071,3.49705831886269,3.27405240951469,3.11391922762435,3.86949497311933,3.65230986362735,3.4770355704132,3.73463477972065,3.70801347559011,3.47253088949915,3.99853422402608,3.63638939125301,3.09062918615701,3.10580880132477,3.55196577657859,3.40301406382871,3.5231468368371,3.76436626095235,3.56773841165836,3.47281298854757,3.67974687880754,3.80261386067637,3.67006736107668,3.57616865787416,3.86873589166325,3.63303027109247,3.43486649521508,3.52126728193071,3.19904406914779,3.4747857664728,3.7166714051306,3.80261386067637
"Isoleucine",1.68718505192135,1.91875413979328,1.63755931317687,2.02600102260182,1.91351228892872,1.59955360320146,1.75100882632888,1.4819469368455,1.84209225247243,1.80403541058325,1.53880965443129,0.946035730372334,2.02401208674044,1.00440197046087,1.69977935027795,2.31660957854305,1.51590969598958,2.13539775399837,1.79633800505129,1.64128163623362,1.85159946958407,1.35643517976906,1.65367762469777,2.06913172772036,1.67314560728107,1.62550000362001,1.63302066057222,0.437901384570037,1.81234520484753,1.49124039839342,2.15432343213866,2.19739198554491,1.56234630490025,1.32743830415777,1.64154699392786,2.16773777205839,1.65603389972853,1.56378118691419,1.62036430144096,1.69827637761442,0.663323286684719,1.49524091425256
"Proline",0.48003625869248,0.847789725116198,0.367110899431423,1.06246670379086,0.534907318076468,0.38582496361094,0.3638673266319,0.559028701348098,0.633063309386524,0.553444728915178,0.473506798476862,0.432650610864225,0.769547786904051,0.249247382301465,0.841092460945296,1.1581731919954,0.590599095198703,0.757566428959806,0.628294583439009,0.341970308770116,0.683284402873887,0.300728693954769,0.67597950572545,0.888661043295745,0.390317425725374,0.394264683546682,0.632856424879009,0.251370437823454,0.641097758274469,0.305332237804126,0.820727267996127,0.391898226077074,0.299863155899472,0.357075873555711,0.341970308770116,0.476655953391082,0.618268611572735,0.335585200463797,0.548730009401756,0.401852189370181,1.61042016986128,0.406532871179559
"Glycine",2.0376134422474,1.74704518735356,1.82948756256816,1.98038679723606,1.90018463404773,1.86215952794026,1.77830300239064,2.01040451743245,1.92922282985813,2.68379808148056,1.75152167902722,1.87984284087049,2.03632211842339,3.05316016774751,2.00254983314015,2.68885725591212,1.8606203542274,1.87999391740554,1.87817933797784,1.69788385993522,2.16843110659824,1.87210674590036,2.01740814675839,1.69115484857391,1.93524533873675,1.79620507287252,1.88029615456545,2.03230839764394,1.78828811771982,1.7031265965063,3.20559996938246,1.80242835374089,1.90476399485813,1.88451608843961,1.90520600473331,1.94548577330638,1.7902731986082,1.82407014502037,1.80731436217074,2.06811526589846,2.3557973699562,1.9453442746929
"Glyceric acid",2.39252414681912,2.00371816931563,2.31016161850035,2.19920195437035,3.82732977582109,2.110929307517,2.3213526750117,3.91192708082753,3.4504605133299,2.72801627909188,2.4605751074206,3.94648236283461,2.00413377313511,2.97277460133383,2.90165123804223,3.01797368929252,2.39714753876949,4.04894193636038,1.99168243066133,2.97847217129994,3.10197627881991,2.10652105944177,2.46004847974375,2.3580252870951,2.5109157937445,2.64276992938012,2.84720129027787,1.87524838574278,2.15484859822934,2.6719608095735,3.82607617433568,2.21962046232486,1.96241294011647,2.06841838430404,2.27525366930212,2.01971051267789,3.36600734507378,2.32121821315386,3.27188879376758,1.88575029421797,3.52807197102063,2.62227762012422
"Uracil",0.162233723830505,0.152535490396535,0.219829987520341,0.185402389484861,0.221563904328596,0.166361537215225,0.197897781760731,0.252271891988427,0.20496858266272,0.268519895023795,0.250169595432008,0.286539519987229,0.23361825950903,0.28084112644725,0.106476153102878,0.233190194360893,0.165903769458092,0.218092978616747,0.185402389484861,0.226316910878453,0.240441711716357,0.223727140992622,0.237035805538906,0.17592732385629,0.230618265901128,0.221996974245873,0.203646635683456,0.295831178112003,0.244259590217428,0.178191456325257,0.225885708163187,0.169103920774417,0.21591750622247,0.213737290827914,0.235328452960305,0.175473831212824,0.242564537167106,0.282472576560691,0.277160716594863,0.284508115776139,0.305037369240885,0.191669643628323
"Serine",3.78457910351967,3.58148075165273,3.79238550130756,3.76144845694734,3.45257910547304,3.62145196392099,3.66307332179052,3.35290344435181,3.60434092620214,3.59025288115199,3.52705440147498,3.53905751674772,3.59281614077574,2.64945593338788,3.88815563223406,4.3566801083285,3.90793887671685,3.66895578949304,3.40417594134577,3.57041540537077,3.99254898092436,3.38938218970258,4.14439044558258,3.88071807959973,3.78284577680119,3.38890277848189,3.4447347262803,3.60528939953856,3.58653854152916,3.49518608263722,3.93003206445764,3.43956741257506,3.39338326414634,3.17353614093912,3.72675960565435,3.27476605712794,3.17229142620838,3.56176031611492,3.30759963480724,3.61799067939484,3.85847685948565,3.5606226975347
"Threonine",3.34797774183397,3.4740353047878,3.66668862382984,3.13464820598973,3.64218713792187,3.1696491934608,3.421578860999,3.15119770300478,3.1449283998261,2.94139234287966,3.3731687574342,3.4616629633814,3.04099135363459,2.26651657445101,3.50015749839579,3.89003715824084,3.36295383093013,3.88262193894566,3.59908113356596,3.05150831291001,3.60815610235476,3.15422324922666,4.04358968426591,3.66279791866662,3.08017732283986,3.13233501350883,3.22586097182631,3.67569605878565,3.25319535451225,2.47525017575469,3.29953442899242,3.64631265706065,3.15874451635275,3.11546771313994,3.02156194676292,3.2746265839825,3.44377891528517,3.17582747886567,2.61093845945945,2.98250452131796,4.57039570169343,2.40335271745615
"Malic acid",0.533298506284716,0.39633260008006,0.577634303642183,0.983099411750347,0.814962475720122,0.541266638685216,0.472840538909547,0.800777832507413,0.852479199749356,0.622529632858187,0.905321711532993,0.380924024036767,0.684014706170985,0.511734290803026,1.00828965369157,1.31078680616077,0.617639652561604,0.478490265658265,0.371563556432483,0.746257001563549,0.679417001572928,0.495250417520686,0.780158565882908,0.94673174679338,0.60530902551988,0.704446749297024,0.503526348756906,0.255346698851098,0.981397266661425,0.715620014189781,0.527950846481802,0.333220168661545,0.377813570547125,0.182321556793955,0.244727101629071,0.272799169441731,0.461444352927429,0.808907950592646,0.393269847284285,0.752701724164502,0.737598947478605,1.1645702706443
"d-Threitol",1.76908721849816,1.50883096951466,1.64166170412395,1.36536536971376,1.73837785546782,1.53436991036833,1.62433618005365,1.69566918522156,1.30484973371595,1.77851430470025,1.68198515299393,1.7998488286234,1.36859489562763,0.742123041772328,1.79904288067431,2.02653101923102,1.54772845239341,1.87419853411198,1.93089976914821,1.3923673829357,2.87057560057905,1.79581224562407,1.40032792836366,1.32836170645638,1.80483149018935,1.41416727703393,1.70527958733352,1.8786760361678,1.63882640891231,1.67049820403855,1.91134576691861,1.71672642830449,1.52061740905264,1.26494136698794,1.85608468636795,1.90990347676329,1.26080624870236,1.2685114504635,1.57371974619565,1.55701534908336,1.68740918385648,1.57189989475437
