"","CSF 1","CSF 2","CSF 3","CSF 4","CSF 5","CSF 6","CSF 7","CSF 8","CSF 9","CSF 10","CSF 11","CSF 12","CSF 13","CSF 14","CSF 15","CSF 16","CSF 17","CSF 18","CSF 19","CSF 20","CSF 21","CSF 22","CSF 23","CSF 24","CSF 25","CSF 26","CSF 27","CSF 28","CSF 29","CSF 30","CSF 31","CSF 32","CSF 33","CSF 34","CSF 35","CSF 36","CSF 37","CSF 38","CSF 39","CSF 40","CSF 41","CSF 42"
"Indole-3-acetic",0.0366346913384474,0.0973578932325373,0.302310058812671,0.020529638586107,0.111133051587194,0.243427930372194,0.363351486519684,0.0979550842521344,0.136468517476735,0.137954325351415,0.60513685956669,0.204640532179729,0.168960812704848,0.263884145568241,0.337677827636053,0.145619463986254,0.444540575641979,0.157918689294467,-0.0751148630861622,0.290566333465425,-0.168134434324684,-0.0313985668724666,0.157389564776896,0.188597006105391,0.163831179346652,0.240031337423785,0.267463497932786,0.277604202073014,0.185399754101784,0.272957606277335,0.0659432789437786,0.200341024028045,0.128286289442721,0.272971855015739,0.0930514026236932,-0.018762366142728,0.19025724554584,0.467176531706128,-0.00744684531502064,0.509569955180767,0.648634038922433,0.339511903239967
"Indole-3-propionic",-0.205831111974246,-0.323351607261261,-0.383345473149837,-0.595693016977199,-0.295684499920369,-0.299756286088546,-0.376447575807998,-0.641881084141103,-0.406560790035655,-0.721798391501414,-0.226677084985992,-0.362749542648467,-2.53319071950551,-0.198566958176834,-2.70394961290368,-2.8385627728264,-0.600249166046894,-2.95410526517153,-0.445810518290469,-0.302751092919852,-0.357947925858346,-0.617044386930421,-0.776533189130016,-0.549039703310583,-0.137850201134613,-0.233326615065415,-0.477494307738078,-0.454683908641876,-0.142067170563948,-0.419585942540315,-0.755628131898241,-0.494496335437092,-0.000176374733723057,-0.396976872854279,-0.603387558706963,-0.290001268974136,-0.475387956627096,-0.415296024193846,0.0679731349408524,-0.433853430726554,-2.95665795097618,-0.56555093636997
"C8:0 (Carn)",-0.684948346018315,-0.798838825674869,-0.743448434267518,-0.678244607041002,-0.733988862212459,-0.858156092601532,-0.753513354015072,-0.728420418797547,-0.820431094595491,-0.805152485672923,-0.78218460806035,-0.99999210704191,-0.480047015438728,-0.887907109813194,-0.85507051361119,-0.967160304531375,-0.895737524568812,-0.519725511952578,-0.805016972494714,-0.759677929156326,-0.928554558344466,-0.722624499956014,-0.455901164780505,-0.92059887060541,-0.626312671500982,-0.623908348830603,-0.647578711265134,-0.899723931732706,-0.757658264350485,-0.629512605241239,-0.626120775822833,-0.646497310005044,-0.711876995167606,-0.773907913813358,-0.480686407500239,-0.890205006525794,-0.730574852834147,-0.768062868238668,-0.760939077586592,-0.655044514644127,-1.12442944211985,-0.730431422597934
"Cortisol",-0.16700866468987,-0.0879970929977161,-0.11924902391295,-0.0794319256790135,-0.0804016250490446,-0.148610137425658,-0.186848364273555,-0.123435538819079,-0.13088093728082,-0.0541959448446824,-0.187786498701236,-0.292671442388726,-0.107634356395734,-0.164843435557861,0.157419052811474,-0.0669316284826197,-0.17145131995213,-0.803494385961126,-0.274007650916147,-0.167103872981757,-0.677347146504021,-0.247550940649815,-2.26526096593416,-0.0848250056348867,-0.164659146735487,-0.223339493304027,-0.1794169272383,-0.224300147384905,-0.231080680969877,0.0328445692114976,0.0301357683949143,-0.146742481819982,0.0199319772442885,0.191945699275643,-0.126941974922417,-0.275122741483753,-0.114700793280129,-0.0349605580441116,0.0900298653035448,0.0411713970571268,-2.95665795097618,0.130997860502915
"C10:0 (Carn)",-0.775570437618862,-0.833137027918274,-0.836164655692503,-0.68221019483965,-0.91915084557659,-0.932554424093485,-1.04797457438227,-0.824392486850309,-0.851695403141611,-0.936176307024839,-0.89383119169723,-1.04321423701422,-0.565082665183109,-0.8838546320551,-0.90417602692084,-0.943033743952886,-0.926929474403464,-0.638217494443652,-0.924641444419362,-0.845591252899051,-0.950138927407185,-0.842465113403299,-0.578843906004545,-0.948382776066713,-0.68893554997016,-0.675745433338861,-0.815182235915563,-0.921571771627723,-0.786164173605522,-0.798158122152974,-0.73337515170923,-0.743570435292904,-0.813728187858153,-0.833298150729669,-0.563793433505611,-0.983613033024701,-0.82345955419892,-0.825813446470407,-0.798839400474659,-0.817807682198309,-1.17678141320034,-0.817345900531406
"Androstenedione",-1.61384278652478,-1.44963140574971,-1.31898376245354,-1.5648586127984,-1.27650843207653,-1.26609523246878,-1.5399181285926,-1.55357790276941,-1.19421178979721,-1.48038656110544,-1.56889627566126,-1.67691770186925,-1.60084173345927,-1.38679808982579,-1.58409553478126,-1.30775834084138,-1.5329603055427,-1.4247270680597,-1.09727564015564,-1.37045948502006,-1.89392097533724,-1.35356682469936,-1.30389612474633,-1.47314898071343,-1.22948968148191,-1.56571854561896,-1.12084486696061,-1.34872732512292,-1.4231372477603,-1.40294262190946,-1.39999536148106,-0.995687782583147,-1.50537903450057,-0.833071234543345,-1.46961663961256,-1.59196088994513,-1.63945530229957,-1.46806923219845,-1.38121807649458,-1.46105145301314,-1.52681638207483,-1.25416934798222
"C14:2 (Carn)",-1.74177924502146,-1.08966795353516,-1.00198954664893,-0.813127287812051,-1.45447958014575,-1.52053173204951,-0.77266345557051,-1.34152270473098,-1.65399671146386,-1.60783513669885,-1.72164047884097,-1.15843930785379,-1.08546274367037,-0.743635073090625,-1.83193377478208,-1.82269966303614,-0.909553575810377,-1.39190723690648,-1.79191678378332,-1.32831401324352,-1.62373220763489,-1.76229723510763,-1.29292754311127,-0.960550725542324,-1.33037990803623,-1.25741279034473,-1.04909953172118,-1.41751604610652,-0.872859331903885,-0.89519052120039,-1.00451532675258,-0.898586871817548,-0.983944212917395,-1.02503912427509,-0.811673779259556,-1.62922067985879,-0.874166282250411,-1.09109997779543,-0.931046937018499,-0.98091715861418,-1.27298558297856,-1.39869607440569
"C12:0 (Carn)",-1.24231004636083,-1.44011413728661,-1.42407279053218,-1.01611308237211,-1.33151367541762,-1.2517271956192,-1.32747475568144,-1.28496479860939,-1.05899110811795,-1.1547303056695,-1.41105012416477,-1.42260420293654,-1.10148932937091,-1.18538132717333,-1.30859973864865,-1.27501799328837,-1.02068029469488,-1.07982262650617,-1.20497598782473,-1.09416449246892,-1.32581200819741,-1.22333736885284,-1.02656554733332,-1.38364939486701,-1.18524522811571,-1.14220415778596,-1.25571985693349,-1.14379266409842,-1.21838022898504,-1.03874761360755,-1.22284973205679,-1.29517282974422,-1.0755956786664,-1.20052804824034,-1.10656108436077,-1.25076514079465,-1.23771475096072,-1.02876808665382,-1.209469156614,-0.942150120596508,-1.43581546770081,-0.984210199529333
"Testosterone",-1.65971507316792,-1.78842701919805,-1.22889439546123,-1.53173586071362,-1.51958198331974,-1.37533068618608,-1.58326942126479,-1.62916559866453,-1.04737627470023,-1.05546483988946,-1.85878484511041,-1.35706323857632,-1.65386409663251,-1.34058135879663,-1.4472354557375,-1.67208856033446,-1.33212041542605,-1.4542643218757,-1.4931373143687,-1.70438595404627,-1.93907492647743,-1.58031207949669,-1.36547719412336,-0.934644371863056,-1.19344121569853,-1.37198036632079,-1.69528313716822,-1.35076441134967,-1.57464420176849,-1.29530850707688,-1.65919456788009,-1.53454471097511,-1.70091454534141,-1.38176742852712,-1.62055347315281,-1.4804303743898,-1.66355117758795,-1.62215854951905,-1.41894660614927,-1.33250740297675,-1.52951812067084,-1.26192979202749
"Progesterone",-1.48094954443945,-1.19748246854754,-1.16711524194639,-1.0092977594571,-1.33256897037273,-1.23597546809597,-1.03948526516449,-1.35116538522411,-0.991640741521963,-1.29982176166749,-1.30397507573485,-1.28734224825354,-1.20682304424116,-1.0345884611325,-1.12032716999712,-1.72646753663234,-1.18500986982452,-1.41294527702028,-1.27095021888472,-1.17691461465262,-1.62807430127306,-1.29416051207185,-0.846007365499392,-1.12253488498173,-1.08833457179897,-1.19857028394048,-1.15416638149328,-1.07030888695708,-1.04556193125955,-1.17400650793475,-1.17594314067888,-1.28304053247219,-1.15384130979479,-1.09512314246264,-1.20968061441441,-1.31243458019115,-1.06588695638332,-0.946738683557844,-0.914220774322487,-1.14183216516794,-1.379457622525,-1.07589399451044
