"","CSF.1","CSF.2","CSF.3","CSF.4","CSF.5","CSF.6","CSF.7","CSF.8","CSF.9","CSF.10","CSF.11","CSF.12","CSF.13","CSF.14","CSF.15","CSF.16","CSF.17","CSF.18","CSF.19","CSF.20","CSF.21","CSF.22","CSF.23","CSF.24","CSF.25","CSF.26","CSF.27","CSF.28","CSF.29","CSF.30","CSF.31","CSF.32","CSF.33","CSF.34","CSF.35","CSF.36","CSF.37","CSF.38","CSF.39","CSF.40","CSF.41","CSF.42"
"SM 18:1;2/24:2",0.142253644201886,0.0950548199300399,0.0849573464124224,0.080006971650397,0.161908495720982,0.109700638683514,0.102831974590539,0.107627733575826,0.0400114004776547,0.170121437062625,0.131869802948655,0.10314326637637,0.100409637259687,0.0258041312099775,0.187747302445371,0.291922349755828,0.111872679416111,0.228135088837165,0.163064346231023,0.0803419951902515,0.823786485753352,0.10961957397896,0.0724835692396853,0.0784573100561549,0.0897382307422719,0.0577302536417327,0.274681920468486,0.0706092724068244,0.0864524291407148,0.0495104094923912,0.176299963335432,0.135061110758909,0.089995152766663,0.0662618977706146,0.0646350352299364,0.156763249806628,0.0960227803896619,0.0587281328528365,0.0594815499350968,0.0476272120121601,0.43038326924429,0.0432888980101937
"SM 18:1;2/21:0",0.0143333135162217,0.0149425804955799,0.00968371808742028,0.0126227379782911,0.0202857154922455,0.00977453520399861,0.00646278613571627,0.0133809672079205,0.0115302059553859,0.0149773455026735,0.0148777208088207,0.0107356471640532,0.0120707514685953,0.00898489368151275,0.0223584740218176,0.0224626656668055,0.0124658622691438,0.0190402132029911,0.0166026461467053,0.0116248745565895,0.145075013417882,0.0138217263316725,0.00695374755893105,0.0131665690513217,0.0125242965475435,0.00483174529583688,0.0226320178517821,0.00857627737292033,0.0140106518295947,0.00527485645105398,0.00720097463667837,0.0156617332632893,0.0129326111145285,0.00849443392561539,0.00666687690634477,0.0228138722771252,0.00770040761364629,0.0029068968783887,0.0057256849365361,0.00418750116608154,0.0224036387899463,0.00557697174300358
"SM 18:1;2/22:0",0.107486995096945,0.0822958320966565,0.0787743590439881,0.179253371389955,0.149558615276325,0.0812851324671916,0.0669870024093382,0.0897957943990467,0.0618659968738432,0.0876155427780525,0.1088929422861,0.0884621399572776,0.12034489794974,0.035854004066093,0.148770245501087,0.182483976936422,0.0940056929675853,0.209291679578991,0.12535188396483,0.0724470535918192,0.696687680586397,0.0866085483650728,0.0437184293999543,0.0831310047404417,0.0831619056060413,0.0611750115007111,0.167991791032942,0.0666617311560869,0.0801532923280589,0.0537130933112132,0.0875170466171907,0.0864690391176955,0.0726827448567732,0.0482802722918984,0.0588198695244119,0.139767742358339,0.085305729032155,0.0472146284264702,0.0545498027038594,0.0531571009205773,0.270535122670414,0.037232064023787
"SM 18:1;2/24:3",0.0199141210805168,0.0111139911615776,0.0125132516847824,0.0261503641881725,0.0196233337730761,0.0127675093717684,0.00964971339503978,0.0125622020944108,0.00866873272929355,0.0187300935138657,0.0201630348905792,0.0152179277216664,0.0162096626752983,0.00949696770358456,0.0196492586730685,0.0264326724418976,0.01575637184227,0.0276328137644284,0.0156566593421654,0.0146671554616368,0.143585143748442,0.0127799218019355,0.00826330268044066,0.0131057877525397,0.0157436438945326,0.00929597324356102,0.0303983652438569,0.00959130601542376,0.0117699614495208,0.011081664910815,0.0129250465504423,0.0178945443376678,0.0115114977363589,0.00742710365651166,0.0128352081644139,0.0176917077351041,0.014025657003513,0.00854490409953746,0.010997726697041,0.0119762060943346,0.0338529207598841,0.00638930882476601
"SM 18:1;2/24:1",0.329922145822774,0.202014627435428,0.22765129614919,0.545931185131022,0.340407326845053,0.204717485242732,0.18778358770714,0.267251548369666,0.134039172432532,0.319062600265544,0.269439117034832,0.248835391339794,0.329473063742988,0.0590671554775022,0.381914872090467,0.528841438015048,0.245559419942527,0.489130636205023,0.343485131546641,0.176745640224254,1.33978282116336,0.261456429433016,0.150447870023481,0.179626302858099,0.209656155937067,0.136996992988368,0.543456248756389,0.188397891755551,0.196831074451831,0.131321491340422,0.315430693614375,0.267459201665674,0.19927680080585,0.149327817070215,0.165494395903841,0.384221437407505,0.229983402111332,0.118700223799603,0.161217210128619,0.117788653418382,0.742779580425488,0.0948432071532025
"SM 18:1;2/24:0",0.0676046937472568,0.0505695800695078,0.0490037127948726,0.131621481154207,0.141940819072264,0.0632593971571892,0.0397138031029096,0.0576086713477106,0.0313467369139198,0.0509797557394452,0.0641471164237389,0.0557152730129721,0.120829528159808,0.0230169753477485,0.10739472125798,0.146273340612873,0.0564070533059719,0.162860683093362,0.0795005822885829,0.0475051102698092,0.493190572299052,0.0603243602718604,0.0274979714498861,0.0486380859394576,0.043233928268102,0.0376922668279281,0.110880476602511,0.0431657290275523,0.0466837949496015,0.0298055387898699,0.0637452440765069,0.0479432818562927,0.0462454911383093,0.0318174243903894,0.0309936849261905,0.10088380914337,0.0541551658240928,0.0247724923267298,0.0346389830396576,0.0326226088435126,0.234912473072607,0.024365534715991
"ChoE (20:5)",0.375334437714527,0.176669614617666,0.144703538638648,0.141263857414158,0.196510581447638,0.266983425850171,0.358989034364955,0.288740562053954,0.261552781458043,0.580865323137388,0.299583938415027,0.404421363596322,0.553715328698918,0.159022649628162,0.479447148523294,0.427554073987599,0.332546254313912,0.557056630369069,0.339770576826044,0.230261677238885,1.76637974479707,0.212832252119808,0.115641900617427,0.479675517872118,0.322142845234188,0.186497243134941,0.337177559251287,0.469209313860781,0.266001104678123,0.165995848005138,0.162751472457565,0.167504660061901,0.252644798501436,0.179308940084486,0.209266914600199,0.616170505301605,0.394791615169649,0.206504201974674,0.278598920240505,0.130886936630913,0.866891726398464,0.162216038630967
"ChoE (18:3)",0.69339524978823,0.346015907713227,0.362074261354953,0.327968251448534,0.415445669527487,0.514143294206133,0.439139378401834,0.475324635051873,0.3354364861311,0.533906108307674,0.461438301333048,0.470706382256984,0.465497177929749,0.33776718352972,0.744323258077867,0.619789242444974,0.466382643883862,1.0414009910769,0.53904111640406,0.391987424119831,2.09873143951351,0.342629598245571,0.143337542292004,0.593611997988001,0.557813421791821,0.296400704481229,0.714955784734587,0.301742287732095,0.364363977410809,0.286880801519951,0.337506986796835,0.383256444626955,0.487794553050092,0.253522289161324,0.284835951088097,0.756355285836679,0.391769483055165,0.288064999126003,0.30216136473224,0.221877390070266,1.21064963460283,0.261090222451288
"ChoE (16:1)",0.824660588422154,0.60624050717961,0.653251059369998,0.449430126151142,0.558948422439457,0.726661740697393,0.637518501960549,0.658266615324084,0.706632690939542,0.629385317745204,0.696359515482945,0.600699709292706,0.448529514542475,0.757317696491907,1.02204652939781,1.10528663226723,0.645132872836048,1.2756868261229,0.880897309291581,0.632880907029093,1.80035308808436,0.65580314135202,0.376116761052707,0.629655631156145,0.602599029278328,0.534505958322132,0.754645021009992,0.524516257886367,0.640527638673796,0.584244119714183,0.525020557296466,0.543384252123665,0.742021103126307,0.49980706175703,0.613146263679828,0.786507369458105,0.461321548822895,0.544988587270622,0.512165805321375,0.504988883087382,1.6994932003561,0.624057786557703
"ChoE (22:6)",1.01739319487923,0.523326955473638,0.503402077302679,0.456174762210854,0.794849613584521,0.537058649310892,0.440158408490325,0.716131505589341,0.515816150347201,0.591845251021241,0.774995795063237,0.701988976423097,0.649184373430914,0.0843504130967162,0.93084786086189,0.948267579160779,0.594302612156277,1.06495415563957,0.990874876354124,0.404082619577796,2.84956538825384,0.595974607577566,0.290456420387049,0.396197159712453,0.583343754219448,0.369731465385027,0.651908693068533,0.606541793872371,0.650563791945502,0.323960649263419,0.507795738295327,0.448520255285876,0.636963421001927,0.348444920008716,0.43101413435945,1.08193092515613,0.459762366075865,0.30546707748106,0.488865372873194,0.245300737792378,1.55660659378811,0.233650083894159
"ChoE (20:4)",2.75130935134431,1.88775214335287,1.96438794957609,1.66750680055541,2.18036231625657,2.14977802678028,1.873003147755,2.10579022125837,1.66303763497019,2.26245358919686,2.53512468295602,2.12204618633476,1.81635240205382,1.51335643525642,2.698649216664,2.84793346945041,1.98333653358318,2.81638716274657,2.63585176871896,1.87592305900704,4.56938573172892,2.1389066680117,1.14382271989882,1.93751212703284,2.12403780467955,1.81052937390727,2.5759660654578,1.75835710328327,2.08755689791717,1.40242038504414,1.84825243022188,2.10755245157077,2.19017624051109,1.41721146375461,1.69277966457888,2.4928953218725,1.79339163651805,1.51013567496024,1.63414613465874,1.52187889460751,3.8115659149742,1.37920302693811
"ChoE (18:2)",2.90252444725503,2.7445553715302,2.05817781249397,2.75423475138398,2.95971548634413,2.340966415496,2.06279983341127,2.20748806047222,1.98839640364049,2.55949303724477,2.60018395613257,2.14671623794876,2.72010247973038,2.11270064953267,3.31125928965364,3.22124421800969,2.58091378363312,3.43057594112373,2.69134883990521,2.10004470630362,5.05355963393909,2.39765678981811,1.75463376002069,2.29916163965912,2.35979268340258,2.10648310065139,3.70570225397403,1.92097322090804,2.64901480330006,2.0280723233575,2.32749426749905,2.58687792846533,2.50563482902097,1.96132487224889,1.74191740200254,2.88781588331855,2.40171053089098,1.76261451800503,1.96185394004998,1.8844483376077,3.94234520552777,1.72762371141489
"ChoE (22:5)",0.114474261919193,0.0370430138788315,0.070015986459622,0.00563616593460015,0.0315388212919387,0.119516010520988,0.0143899660227735,0.0390547657309233,0.0147152516548208,0.0424147538853487,0.0772204945122272,0.0150705437265114,0.00984750081386564,0.0252008287924909,0.165859911845624,0.185932718693179,0.0683145034473731,0.136730807907737,0.113224281642845,0.0421395587911156,0.706983661925292,0.079985194327368,0.00911716109133868,0.0328013530790979,0.041771165674759,0.0248872736426794,0.110996733598483,0.0054201812423057,0.0483594828681245,0.00739968765739663,0.0874057134787754,0.0560271973668973,0.0945245258044843,0.00700562718869828,0.0338319815224011,0.0641968999792076,0.0255722665569611,0.0064293165790521,0.00938901393836034,0.0318895208986147,0.358831967789201,0.0120091743360943
"ChoE (20:3)",0.694757183808883,0.404492568678299,0.335486036199685,0.25476097101213,0.382491899827977,0.391143102728947,0.379308452663205,0.40504348590468,0.36112115487721,0.6349609740161,0.455590126994237,0.331927998622365,0.331114193625832,0.232755924075876,0.734516017534607,0.770960451038057,0.391736365372016,0.800636124506389,0.547397042173485,0.412450917092188,1.98971756619201,0.515102405284293,0.210038939744078,0.495615026940848,0.365699014261866,0.310914033443948,0.831945615432532,0.242501138418222,0.336061723800925,0.267884538142632,0.496899240281386,0.429519142867366,0.454082749459883,0.130477584495362,0.300407879787417,0.785477880665093,0.461675546835731,0.224908552782316,0.338535606408886,0.198669202902479,1.20947072303506,0.24982583198211
